latitude,longitude,depth,TVD,MD
38.83,-122.83,-78.708504,0.0,0
38.829994508878855,-122.82999636274907,-40.608504,1050.999658503598,1051
38.82999618832194,-122.82999844113186,-11.652504,1175.9990131984996,1176
38.83000074354866,-122.83000402994269,17.300448,1270.9955271309097,1271
38.830005196700164,-122.8300114469345,46.2534,1365.99061164978,1366
38.830009687936986,-122.83002042624946,68.8086,1460.9839494542796,1461
38.83001391255817,-122.8300293169623,74.901552,1534.9758090742864,1535
38.83001499736593,-122.8300319706002,103.241856,1554.973258769067,1555
38.83002067674521,-122.83004780447051,132.194808,1647.9541335616777,1648
38.83002586225265,-122.83006246213081,161.150808,1742.9377984678704,1743
38.83002707188718,-122.83006464561052,190.10376,1837.9359632663507,1838
38.830023542161065,-122.8300540637794,219.053664,1932.9271714487154,1933
38.830017811951855,-122.83003691671125,248.00052,2027.9057740089768,2028
38.83000972567943,-122.83001926062897,276.642576,2122.881010412762,2123
38.83000061245702,-122.83000133420994,305.89728,2216.8542424210314,2217
38.82999265459604,-122.82998458701347,315.65088,2312.8318261797317,2313
38.82998975771194,-122.82998020863887,363.797088,2344.826471815385,2345
38.829970484213156,-122.82995885309047,392.746992,2502.793810969854,2503
38.82995611000548,-122.82994640395665,420.175944,2597.770161793674,2598
38.82994634604366,-122.82993776006265,422.004744,2687.757833590681,2688
38.829946018135445,-122.82993734836313,450.957696,2693.7575469475146,2694
38.82994258116932,-122.82993088289062,479.608896,2788.7539988162985,2789
38.82993847293863,-122.82992484116978,508.260096,2882.7503695071696,2883
38.82993241108353,-122.82991969851976,537.517848,2976.7461926178926,2977
38.82993038980931,-122.82991950537672,566.473848,3072.7451315733674,3073
38.82993807297217,-122.82992648939009,595.115904,3167.7372188490426,3168
38.82995371165986,-122.82993740083344,624.364512,3261.713048300019,3262
38.82997425608761,-122.82995330766781,642.338568,3357.6690608854624,3358
38.82998697021169,-122.82996472696692,653.305272,3416.6382776451114,3417
38.82999350832801,-122.82997130442362,682.258224,3452.623436708167,3453
38.8300018342616,-122.82998290679751,711.211176,3547.6081863089175,3548
38.82999791320379,-122.82998805465314,713.039976,3642.6049803333235,3643
38.82999737432064,-122.829988322038,740.167176,3648.6046060230287,3649
38.82998828970261,-122.82999455996493,769.11708,3737.5960104582027,3738
38.82997869917857,-122.83000423609953,798.066984,3832.583843850394,3833
38.8299682418897,-122.83001887466267,826.712088,3927.56222489722,3928
38.82995990947692,-122.83003562769277,855.66504,4021.5386729660395,4022
38.829958142771716,-122.83004937306265,884.313192,4116.5259493036465,4117
38.82995737769733,-122.83005864917024,913.269192,4210.51996992965,4211
38.82995604093389,-122.83006356429935,942.225192,4305.518212914897,4306
38.82995616283447,-122.83006725660853,971.178144,4400.517316700922,4401
38.82995746081633,-122.83007290526666,999.524544,4495.515038855968,4496
38.82995991952758,-122.83007591683412,1021.165344,4588.5136139237375,4589
38.82995965288881,-122.83007113836507,1028.480544,4659.5110096671315,4660
38.829958428102536,-122.83006780514921,1056.808656,4683.507725671807,4684
38.82994864000819,-122.83004160797704,1085.700648,4776.452191950445,4777
38.82992869108138,-122.82998921227697,1114.82124,4871.241724903359,4872
38.82990017287584,-122.82990981347125,1142.914656,4966.77703399847,4968
38.82986445802861,-122.82980504146424,1170.840432,5058.949490841953,5061
38.829816778609285,-122.82967005402128,1198.245,5150.566092096408,5154
38.829756608418606,-122.8295063235525,1228.091016,5240.483245130363,5246
38.8296770266913,-122.82929890459387,1255.361472,5338.400939169421,5347
38.82959538007567,-122.82908640642401,1259.7384,5427.872790554274,5440
38.82958161306494,-122.82904989650521,1282.961112,5442.229158298778,5455
38.829503721709486,-122.82884523179098,1310.582088,5518.416444007228,5535
38.82940554238173,-122.82857850066517,1337.32524,5609.041485156745,5631
38.829306887593724,-122.82829246075273,1363.437456,5696.784865150657,5725
38.82920611141809,-122.82798352010497,1386.41328,5782.445771691203,5818
38.82911447446339,-122.82768562716201,1389.97944,5857.83067525981,5901
38.82909995845345,-122.82763691755724,1415.796,5869.532831143694,5914
38.82899250063196,-122.82726603519781,1433.703,5954.231140655745,6009
38.82891169834733,-122.82698847428904,1440.83532,6012.981155269035,6076
38.82887677884168,-122.82687271762791,1465.728336,6036.381365392521,6103
38.82874306343513,-122.82644019891896,1489.783152,6118.055333993579,6199
38.82859847834457,-122.82598799907773,1513.792248,6196.969419131874,6294
38.82845220476591,-122.82553438607131,1538.368272,6275.745353973194,6389
38.82830780980601,-122.82508947308915,1562.19144,6356.370599777975,6485
38.82816327188129,-122.82466084247588,1572.359568,6434.5338710455835,6578
38.82809859342216,-122.82447348466073,1586.557152,6467.887303262945,6618
38.828007533161596,-122.82420977450904,1606.594704,6514.471315438367,6674
38.827880098393464,-122.82383767468038,1612.937592,6580.207178294443,6753
38.82784006445919,-122.82371990743806,1630.95432,6601.0157113492305,6778
38.82772750784422,-122.8233853570189,1654.762248,6660.132571074139,6849
38.827583105965005,-122.82293860437476,1678.878024,6738.236554066419,6943
38.82744850292818,-122.82246960456888,1692.66108,6817.361093935973,7039
38.82737978688373,-122.82219711928614,1702.743864,6862.581995670717,7094
38.82733365345602,-122.82200061517229,1726.122024,6895.663355730489,7134
38.82723121057181,-122.82153974042325,1749.737928,6972.361645664189,7227
38.82713022190039,-122.82105674763179,1773.073416,7049.841618205654,7322
38.827032167398755,-122.82056144917895,1796.652744,7126.399098536205,7417
38.826932392310965,-122.8200457196022,1819.265856,7203.759236721871,7514
38.826837561425656,-122.8195363785942,1842.025272,7277.95282025345,7608
