network,station,longitude,latitude,elevation
Castilla,CA01,-73.6845,3.886121,0.436
Castilla,CA02,-73.6482,3.833202,0.393
Castilla,CA03,-73.6942,3.864337,0.438
Castilla,CA04,-73.6136,3.872696,0.337
Castilla,CA05,-73.6363,3.85249,0.388
Castilla,CA06,-73.6672,3.810451,0.392
Castilla,CA07,-73.6496,3.812898,0.384
Castilla,CA09,-73.6218,3.83872,0.368
Castilla,CA10,-73.634,3.825358,0.376
Castilla,CA13,-73.7238,3.8402,0.592
Castilla,CH12,-73.6482,3.899640,0.431
Castilla,CA14,-73.6677,3.86669,0.420
