station,latitude,longitude
CUSLD,37.76421,-122.094193
CVA,37.618168,-121.759895
CVL,37.623592,-121.836411
CVP,37.884003,-122.223228
CYB,37.807873,-122.361801
CYD,37.562767,-122.09655
CYD1,37.562893,-122.096695
DBOG,37.652832,-118.917831
EXSG,37.613667,-118.830498
G001,38.73782,-123.48893
G002,39.591915,-123.783699
G003,39.304501,-123.802948
G004,38.710251,-123.451233
G005,38.592064,-123.319794
G006,39.132172,-123.468155
G007,39.02153,-123.680847
GAC,38.872742,-122.862915
GAR,38.960037,-122.250305
GAX,38.710682,-122.75724
GAXB,38.710732,-122.757332
GBB,39.80127,-122.345497
GBD,39.442429,-123.310654
GBG,38.814358,-122.682625
GBL,39.11709,-123.70883
GBM,39.140854,-122.497391
GCB,39.391335,-123.522987
GCK,39.543755,-122.436684
GCM,38.805832,-122.755165
GCPN,38.777122,-122.744728
GCR,38.773834,-122.716499
GCS,39.022835,-123.521164
GCV,38.769001,-123.014832
GCVB,38.769268,-123.01487
GCW,39.13081,-123.077057
GCWB,39.12997,-123.07651
GDC,38.76778,-123.239555
GDCB,38.76746,-123.23972
GDX,38.807774,-122.794739
GDXB,38.807968,-122.795303
GFC,39.326553,-122.288864
GGL,38.896667,-122.776337
GGP,38.764267,-122.845284
GGPB,38.7644,-122.845184
GGPC,38.768765,-122.8465
GGU,38.856392,-123.498169
GHC,38.605968,-123.197777
GHG,39.128132,-122.824478
GHGB,39.12745,-122.82347
GHL,39.040627,-123.01944
GHM,39.495453,-122.930962
GHO,39.04446,-123.541092
GHV,39.085312,-122.735855
GMC,38.792866,-123.127914
GMK,38.969551,-122.787735
GMM,38.838165,-122.798836
GMO,38.710167,-123.143166
GMR,39.133171,-123.46788
GNA,39.197502,-123.632027
GNR,39.20074,-123.63514
GPM,38.846535,-122.947098
GRO,39.916843,-122.671165
GROB,39.91676,-122.67078
GRT,38.938667,-122.671097
GSG,38.866337,-122.710884
GSM,38.769165,-122.781166
GSN,38.940395,-123.192451
GSS,38.702053,-123.014282
GSX,38.8498,-122.52254
GTC,39.399441,-123.555321
GTS,39.311611,-122.603378
GVA,39.37355,-123.127968
GVV,39.775097,-122.675514
GWK,39.052151,-122.49205
GWR,39.205704,-123.301003
GWW,38.832842,-123.530819
H001,36.922497,-121.740196
H002,36.87709,-121.647385
HAZ,36.884457,-121.591965
HBC,37.02928,-121.0764
HBH,36.88338,-121.4905
HBT,36.850178,-121.55191
HCA,37.025372,-121.484528
HCAB,37.025368,-121.484535
HCB,36.93137,-121.661758
HCBB,36.930889,-121.66188
HCO,36.8885,-121.705666
HCP,37.1945,-121.184669
HCR,36.956635,-121.583626
HCRB,36.955299,-121.582047
HDL,36.835152,-121.645226
HER,36.79818,-121.711548
HES,36.85173,-121.7421
HFE,36.982899,-121.403214
HFH,36.888168,-121.468834
HFM,36.756332,-121.501663
HFP,36.753544,-121.491661
HGS,37.09618,-121.447945
HGW,37.016998,-121.653336
HJG,36.79834,-121.574692
HJS,36.817066,-121.298546
HKR,36.901665,-121.426003
HLB,36.98972,-120.93017
HLO,36.90242,-121.29919
HLP,37.04134,-121.631897
HLT,36.884617,-121.309326
HMO,36.601601,-121.917786
HMOB,36.599346,-121.918144
HMP,37.18719,-121.36036
HMS,37.21339,-121.5131
HOR,36.918926,-121.515022
HPC,37.059933,-121.27578
HPH,36.856121,-121.407066
HPL,37.05196,-121.291122
HPR,36.953167,-121.695
HQR,36.833668,-121.212669
HSF,36.816334,-121.498001
HSFB,36.81855,-121.50349
HSL,37.019089,-121.086082
HSP,37.115009,-121.517075
HTU,36.826817,-121.643486
IRG,0,0
IRG1,0,0
IRG1A,0,0
IRG1E,0,0
IRG2,0,0
IRG2A,0,0
IRG2E,0,0
IRG3,0,0
IRGCH,0,0
IRGE,0,0
IRGFP,0,0
IRGGP,0,0
IRGHO,0,0
IRGLL,0,0
IRGMM,0,0
IRGMT,0,0
IRGSM,0,0
IRGVP,0,0
IRIG,0,0
J001,37.592735,-122.392273
J002,37.367748,-122.153587
J003,37.436401,-122.13472
J004,37.317459,-122.036446
J005,37.296062,-121.960457
J006,37.356853,-122.101967
J007,37.492363,-122.244667
J008,37.475922,-122.188164
J009,37.519733,-122.511726
J010,37.457958,-122.436234
J011,37.369469,-122.213707
J012,37.405994,-122.106934
J013,37.756023,-122.46669
J014,37.416512,-122.189621
J015,37.331871,-121.876114
J016,37.457443,-122.251671
J017,37.461205,-122.228989
J018,37.319592,-122.073547
J019,37.434326,-122.198349
J020,37.766033,-122.441139
J021,37.356548,-122.236557
J022,37.629978,-122.44516
J023,37.525528,-122.346939
J024,37.402103,-122.085373
J025,37.394753,-122.072548
J026,37.34935,-122.023911
J027,37.347603,-122.084167
J028,37.387951,-122.22319
J029,37.634148,-122.493813
J030,37.3862,-122.121048
J031,37.581299,-122.482422
J032,37.631451,-122.414993
J033,37.452854,-122.195824
J034,37.370224,-122.113449
J035,37.557804,-122.378021
J036,37.528355,-122.297813
J037,37.536282,-122.237541
J038,37.33205,-121.965866
J039,37.621201,-122.45285
J040,37.804688,-122.434738
J041,37.800491,-122.441444
J042,37.806194,-122.436043
J043,37.560108,-122.295486
J044,37.37096,-122.264442
J045,37.523643,-122.301033
J046,37.256607,-121.968987
J047,37.207901,-121.870613
J048,37.193752,-122.018761
J049,37.588139,-122.458687
J050,37.61113,-122.477852
J051,37.312901,-122.007835
J052,37.299629,-122.24456
J053,37.288418,-122.160629
J054,37.246849,-121.824806
J055,37.39999,-121.922073
J056,37.778343,-122.442886
J057,37.78796,-122.463875
J058,36.998039,-121.827271
J059,37.489326,-122.452751
J060,37.712742,-122.405266
J061,37.730572,-122.497421
J062,37.562637,-122.265808
J063,37.017448,-122.127068
J064,37.420303,-122.323967
J065,37.34322,-122.051247
J066,37.101082,-121.876762
J067,37.554142,-122.340958
J068,37.351501,-121.925262
JAL,37.157757,-121.848213
JAR,36.987171,-122.060829
JBC,37.16481,-122.029793
JBG,37.343048,-122.33976
JBL,37.127464,-122.168983
JBM,37.316994,-122.153877
JBMB,37.318607,-122.153145
JBN,37.123245,-122.156715
JBNB,37.120449,-122.155197
JBR,37.172169,-122.011208
JBZ,37.018147,-121.82032
JCB,37.111526,-121.689857
JCC,36.99347,-121.92218
JCH,37.517036,-122.377304
JCP,37.58831,-122.323387
JCPB,37.58794,-122.32368
JEC,37.050541,-121.810417
JECB,37.049225,-121.807236
JEG,37.51379,-122.463417
JEL,36.927364,-121.827759
JELB,36.927448,-121.827637
JFP,37.360447,-122.189857
JGR,37.516041,-122.458153
JHL,37.109085,-121.834541
JHP,37.444084,-122.304001
JHU,37.214272,-122.171677
JJO,37.20631,-121.977257
JJR,37.344494,-122.202736
JLA,37.154259,-121.733994
JLAB,37.15432,-121.734673
JLP,37.111,-121.843002
JLT,37.353668,-122.20417
JLX,37.201942,-121.987427
JMG,37.637348,-122.475952
JMGB,37.637192,-122.474823
JMM,37.01068,-121.70568
JMP,37.455425,-122.16642
JNA,37.176998,-121.844666
JPC,37.270802,-122.212761
JPE,37.284159,-122.209292
JPL,36.977467,-121.833832
JPP,37.262585,-122.214149
JPR,37.795269,-122.474953
JPS,37.198364,-122.34848
JPSB,37.198551,-122.34671
JQB,37.322334,-122.111336
JQE,37.323166,-122.101997
JQN,37.324833,-122.109001
JQO,37.319332,-122.105003
JQS,37.318668,-122.110168
JQW,37.323334,-122.116333
JRG,37.037785,-121.965691
JRR,37.054333,-121.727829
JSA,37.582249,-122.420059
JSB,37.674332,-122.398552
JSC,37.284286,-122.124184
JSCB,37.284153,-122.123688
JSF,37.404587,-122.174072
JSFB,37.403721,-122.175957
JSG,37.283165,-122.050766
JSGB,37.28397,-122.050171
JSJ,37.333778,-122.092316
JSM,37.212635,-122.169113
JSP,37.586441,-122.502167
JSS,37.169491,-121.931824
JST,37.205605,-121.798721
JSV,37.07381,-122.00204
JTG,37.028465,-121.877731
JTR,37.352165,-122.197998
JUC,37.001034,-122.049217
JUM,37.160671,-121.898994
K001,41.807095,-124.175247
K002,41.363411,-124.01931
K003,40.935638,-124.099701
K004,40.246887,-124.119537
KBB,40.197128,-123.851517
KBN,39.892372,-123.19503
KBO,42.212357,-124.225983
KBR,40.728973,-123.954521
KBS,39.917187,-123.595612
KBU,40.24553,-123.8532
KCO,40.256748,-124.265984
KCP,39.687332,-123.577667
KCPB,39.68631,-123.58242
KCR,40.426441,-123.820641
KCS,40.53791,-123.513939
KCSB,40.538363,-123.513998
KCT,40.475567,-124.337486
KEB,42.872211,-124.334251
KFB,41.72802,-123.79541
KFP,39.638885,-123.42514
KGM,40.758789,-123.673798
KHB,40.659901,-123.219658
